theme,text,rating
pro-militsiyu,"Вы слишком долго ездите по Москве если:
1. Вы не помните, когда последний раз останавливались ПЕРЕД стоп-линией, в случае, если подкатили к перекрестку первым.
2. Ваш личный рекорд во дворе дома - 70 км/ч, а в Москве - за 150.
3. Если горит зеленый, а перекресток занят - необходимо выехать на него. Какая разница, что поперечные не проедут. Вы же ехали на свой сигнал светофора.
4. Поворотник надо включать когда минимум полмашины уже на другой полосе. Ведь если включить заранее - то не пропустят.
5. Если перед вами включили поворотник, а машина все еще не в вашем ряду, вы автоматически давите на газ, а не снимаете ногу с педали.
6. Вы не знаете ни одного знака/правила, который нельзя было бы нарушить в случае необходимости или поздно ночью.
7. Вы вообще помните не более десятка знаков.
8. Если вы подъезжаете к перекрестку, и на нем знаки - 3 ряда прямо, левый только налево - правый только направо - вы смело встаете в крайние. Там меньше машин. Да и все равно - 9 из 10 перед вами поедут
прямо, а одного отожмут в сторону.
9. Если вы стартуете со светофора, а до следующего 300 м, и он переключился на красный, то надо гнать изо всех сил, тормозя потом в пол. Таким образом вы занимаете позицию чуть ближе к заветной цели, где-то на 0.3-0.35 сек.
10. Стоя в пробке, вы прижимаетесь бампером к передней машине так, что между вами не пройдет пешеход. Зато вы проехали бОльшую дистанцию
(плевать, что если впереди включат аварийку, вы будете полчаса матерясь сдавать назад).
11. В пробке, если человек перед вами не проезжает 2 метра, освободившихся перед ним - вы включаете дальний, и падаете грудью на гудок. Ведь есть же место!!
12. Вообще в пробке вы включаете передачу, и держите сцепление на грани троганья, чтобы не пропустить момент подкатиться к передыдущей машине (п.10).
13. Прочитав это, вы не сказали ""ну надо же, бывают же козлы, которые так ездят"".

",0
aforizmi,"Какой же ""русский"" не любит ""на лапу""!?


",0
raznie,"... А из кустов вышли еще тридцать три богатыря. Вышли они, застегнули доспехи...

",0
aforizmi,"как пиво не охлаждай, оно все равно кончится


",0
aforizmi,"Дорога к зависанию Windows выстлана благими кликами.


",0
aforizmi,"демократия - это диктатура демократов...

Aleks Fisch


",0
aforizmi,"пи%&ец как конечная стадия опи%&енения.


",0
raznie,"Учёными была разработана концепция новой науки на основе кибернетики и математики. Науку назвали кибениматика.

",0
pro-armiu,"В ротной стенной газете в заметке описывался такой эпизод:
Пулемет смолк, кончились патроны.
- Но вы же комсомолец, - призывно обратился комсорг к
пулеметчику. И пулемет снова яростно застрочил...
",0
meditsinskie,"Мужик у врача:
-Доктор, что-то у меня голова кружится и мошки вокруг летают.
Врач:
-Дихлофос пили?
Мужик:
-Пил, не помогает.
",0
pro-shtirlitsa,"Идёт Штирлиц и думает, что его сдаёт за русского шпиона:
или звезда на будёновке,
или сигарета ""Казбек"" в углу рта,
или парашют, который волочиться за ним по мостовой.

",0
pro-armiu,"В комнату к Анке вошел Фурманов. Подтянутый, в гимнастерке, весь времнях.- Эх, если бы он еще и пел, как Расторгуев... - вздохнув, подумала Анка.
",1
raznie,"- Мама, а можно я тоже буду носить лифчик - ведь мне уже 14 лет ???
- Заткнись, Джек ! :-|

",0
raznie,"В питерском Доме природы во время одной выставки аквариумных рыбок около аквариумов висела табличка ""РЫБ НЕ КОРМИТЬ! "", где снизу фломастером кто-то приписал: ""И ПИТЬ НЕ ДАВАТЬ! ""
",0
aforizmi,"На смену эпохе застоя пришла эпоха отстоя...


",0
raznie,"Поехал как то джигит из далёкого горного аула в город, зоопарк посмотреть. Вернулся домой полный впечатлений. Сосед его спрашивает:
- Ну ти што там видэл?
- Жираф видэл!
- Ета кто такой?
- Ну ишяк знаешь? Знаю. Ну вот точно такойже толко шея длинний.
- А ешо кто видэл?
- Зебра видэл!
- А ета как?
- Ну ишяк знаешь? Знаю. Ну вот точно такойже толко вэс полосатий.
- А ктo-то необичний бил?
- Да удав бил!
- Как ета?
- Ну ишяк знаешь? Знаю. Ну вот х@й есть ишяк нэт! ""
",0
tsitati,"Энтузиаст из Германии построил полноразмерную модель “формульного” болида McLaren-Mercedes MP4/14 из спичек.
На ее создание ушло шесть лет, 956 тысяч спичек и 1686 тюбиков клея, сообщает сайт Jalopnik
Главное в этом деле - правильный клей, задумчиво сообщает счастливый создатель...

",0
shkolnie-i-pro-shkolu,"Из школьных сочинений:... погиб в водах Иртыша от благодарного потомства.
",0
aforizmi,"Время собирать и разбрасывать пазлы.


",0
pro-semyu,"Муж:
- Я пошел на рыбалку!
Жена:
- Иди, иди! Никто тебя за рога не держит...

",0
raznie,"Игра ""Что? Где? Когда?"".
- Итак, вопрос: сколько будет 2х2?
Знатоки бурно обсуждают, затем берут дополнительную минуту.
Зал жестами дает понять, что тоже не знаeт ответ.
- Мы считаем, что это пять.
- Вы неправильно считаете. Правильный ответ 4.
Слово берет хранитель традиций:
- Господин ведущий, у них не было калькулятора, поэтому точный ответ они знать не могли, а точность 25% для устного счета - это очень неплохой результат. Кроме того, ответ знатоков представляет из себя целое число, как и правильный ответ, а не дробное, как например 3,14. И как правильный ответ, оно однозначное, а не 2х или 3х-значное. И что самое поразительное, оно так же является положительным числом, как и правильный ответ. Поэтому я считаю, что знатоки ответили правильно.
Ведущий: - Хорошо. Я присуждаю очко знатокам. Следующий раунд!

",0
pro-mugchin,"- Как красить яйца на пасху?- Если в красный, то опустить в кипяток, если в синий, то прижать дверью.
",0
pro-detey,"Маленький мальчик гранату нашел, С ней он спокойно до дому дошел. Но захотелось гранату вдруг съесть Челюсть нашли километров за шесть.
",0
raznie,"- Слово из трех букв, посередине ""У"", иногда шевелиться?
- Муж!
",0
pro-semyu,"447 -- Привет, Андрюша! Как ты изменился! Без бороды, без усов.
-- Извините, но я -- не Андрюша.
-- Как? Ну, ты даешь -- и имя поменял?!

",0
raznie,"В трамвай входит человек, ставит чемодан на пол, берет билет.
Оборачивается - чемодана нет.
- Граждане, отдайте чемодан!
Оборачивается - нет чемодана.
- Граждане, отдайте чемодан!!
Оборачивается - нет чемодана.
- Граждане, отдайте чемодан, я то будет, как в Одессе!!!
Оборачивается - чемодан стоит на месте. Человек берет его и
выходит из трамвая. Один не выдержал, подбежал и спрашивает:
- А как было в Одессе?
- Не отдали чемодан!..

",0
pro-givotnih,"Сидят на заборе в городе два петуха: городской и деревенский, скучают. Деревенский тут и говорит:
- Давай, что ли, покукарекаем?
- Давай лучше в кулинарию сходим - на голых баб посмотрим.

",0
raznie,"Грузин сидит кушает лягушку, подходит второй:
- Что делаешь?
- Рыба кушаю.
- Где взяль?
- Сам припрыгаль.
- Почему зеленый?
- Наверно, молодой еще.

",0
aforizmi,"Ну что с нее взять, если она может только дать?!


",0
aforizmi,"Кремленитет


",0
raznie,"Практически сразу после создания самораспустилась организация донецких ультрасепаратистов: они так и не сумели выговорить своего названия.

",0
narodnie,"Перед огромной очередью в магазине выступает мужик: то цыганочку спляшет, то стихи почитает, то анекдоты в лицах показывает. Народ угарает и рукоплещет не переставая. Даже кое-кто и купюры стал кидать к его ногам. Короче, успех грандиозный! Тут с корзиной, загруженой под завязку продуктами, к мужику подкатывает восьмислойная красномордая тетка и начинает вопить что есть мочи на весь зал:
- Ага, вооот ты где, придурок! А я его зыркаю-зыркаю почём зря кругом, а он тут цирк устроил! Позорит меня на весь свет! Я те чё сказала сделать, а?
- Очередь занять...
- Ну???
- Ну я... их... которые в очереди... и занимаю, чем могу...
Народ упал. В лежку. И расступился к кассе перед теткой.
Ну и? Разве мужик что-то не правильно сделал?
",3
raznie,"Первокурсник не сдал первую сессию, спрашивает у старшекурсника:
- А что бывает, если не сдал сессию?
- Ну препод на пересдаче посылает тебя в деканат, в деканате тебя посылают к замдеканy, замдекан тебя посылает к декану, а декан просто посылает...

",0
tsitati,"""[DrEw]"" во сколько на к. встречаемся?""bambr"" на х.?""Воспи27617"" на к""Воспи27617"" давай в...""zoi"" п.?

",0
raznie,"На завод присылают нового директора. В первый рабочий день он вызывает к себе секретаршу, окидывает её оценивающим взглядом и
говорит:
- Ну, что ж, неплохо... Но мини-юбку можно покороче, декольте поглубже...
- Простите, шеф, а соски солью надо посыпать?
- Это еще зачем?
- Просто ваш предшественник был большой любитель пива!

",0
pro-shtirlitsa,"Штирлиц пошел на пляж. Он лег на гальку. Лежать было неудобно и он лег на Светку.

",0
raznie,"- Вот тебе фотография, адрес: улица Ленина, дом 8, квартира...
- Платить сколько будешь ?
- Лимон.
- Квартиры не надо...

",0
raznie,"В феврале 2002, в Salt Lake City, женская сборная России по лыжам была дисквалифицирована за высокое содержание эритроцитов в крови. На следующем чемпионате мира по шахматам, проходяшем в США, американские судьи дисквалифицировали Гарри Каспарова за слишком высокое содержание мозговых клеток в голове (количество клеток у Каспарова в десятки раз превышало нормы, установленные америкосами.)

",0
raznie,"Дело было вечером...
Разговаривают жена с мужем:
- Дорогой, в прошлом году на день рожденья моей маме ты подарил стул,
а что ты подаришь в этом году ?
- Я подключу к нему электричество =8-()

",0
pro-programmistov,"Разговор программиста с женой. Программер:
- Ты слыхала, что через 10-15 лет станет возможным иметь секс с компьютером?
- А тебе-то что? Для тебя ничего не изменится...

",0
raznie,"Мужик во дворе  чистит костюм. Проходит мимо сосед, интересуется:- Что стряслось с твоим костюмом?- Да вот купил в магазине порошок против моли. Мало того, что эта сволочь весь порошок съела, так ее еще и вытошнило на костюм!
",0
raznie,"Письмо: ""Уважаемый Серега, пишет вам мать 33-летнего Ильи. После того, как вышла ваша песня ""Черный бумер"", в нашем доме пропали все ценные вещи, а у моего сына появился черный БМВ. Прошу вас - напишите песню ""Мозги""!
",0
pro-kino,"Идет ВИЧ а на встpечу ему (П)етька идет и на спине большую птицу тащит
(ВИЧ) - Где взял?
(П) - Бумеpангом сбил.
(ВИЧ) - Петька если ты еще pаз будеш моими носками птиц сбивать я твою пpостыню на дpова поpублю!

",1
pro-militsiyu,"Постамент - это мент на посту.
А кто такие парла-, регла-, позу-, пиг-, орна-, позу- и многие
другие менты?. З_Л


",0
sovetskie,"Еврей переходит границу. Окрик пограничника:
- Стой! Стрелять буду!
Еврей быстро спустил штаны, присел. Подходит пограничник:
- Ты что тут делаешь?
- Как - что? Какаю!
- Ну-ка, встань!
Тот встал, под ним куча собачьего дерьма.
Пограничник:
- Так это же собачье дерьмо!
- А жизнь какая?

",1
pro-evreev,"Из сочинения:Великий русский художник Левитан родился в бедной еврейской семье.
",0
aforizmi,"Пусть счастлив тот, кто нас имел.
Пусть сдохнет тот, кто нас не захотел!
Женщины.


",1
aforizmi,"Если вас огорчает слишком быстро летящее время, сядьте в тюрьму.


",0
aforizmi,"Полезный совет: эрогенную зону ищи по сезону.
Антон Клубницкий


",0
tsitati,"""TwiN_Maker"" Люди! А скажыте на каком канале можно реально матерится?""Ксюшка"" реально можно материться тока на реале

",0
pro-narkomanov,"Стадо бизонов бежит со скоростью самого медленного бизона.
Охотники охотятся на самых медленных бизинов.
Из-за этого все остальное стадо бежит быстрее.
Так и с алкоголем:
Алкоголь убивает самые медленные и слабые клетки в организме.
Из за этого весь организм начинает работать быстрее и лучше.

",0
pro-alkogolikov,"Сидят Василий Иванович  с Петькой и пьют водку.Вдруг приезжают парашютисты и просят Василия Иваныча с парашюта прыгнуть,а он пьяный.Вот он и спрашивает у Петьки ""Что делать ?"" Петька ему и говорит "" Ты ложись в кусты с развернутым парашютом, а с самолета мы мешок с мукой скинем"". Взлетел самолет и кидает Петька мешок,а парашют не раскрывается и мешок падает на землю.Кругом поднимается пыль.Василий Иваныч подскакивает и кричит ""Да так и убиться можно""
",0
raznie,"Миру мир - студентам Beer!

",0
raznie,"Пошел мужик с зубом к дантисту. Тот дергал-дергал, никак...
-Ты иди на Ж/Д станцию, привяжи зуб к составу, тот тронется и зуб вырвет...
Утром встречаются - мужик вообще без зубов.
Дантист: -Что случилось ???
Мужик:- Я привязал зуб к составу, а он с рельс сошел!
Дантист: -А зубы где?
Мужик:- А зубы мне начальник станции выбил!

",0
pro-genshin,"У пьяного хватило сил добраться до своей двери. Он вставил ключ
в замочную скважину и тут же упал. Проспал до утра. Утром жена
собирается на работу, пытается открыть ключом дверь изнутри. Ключ не
входит. Тогда она начала кричать:
- Васька, паразит! Открой дверь - я же на работу опаздываю!
Он приподнял голову и отвечает:
- А где шлялась всю ночь - туда и иди!

",47
aforizmi,"Жизнь хитра. Когда у меня на руках все карты, она внезапно решает играть в
шахматы.


",0
pro-shtirlitsa,"Мюллер на совещании:
- Все свободны. А вас Штирлиц я попрошу остаться.
- Ну попросите.
- Ну Штирлиц,.....ну останьтесь,....ну пожалуйста...

",0
aforizmi,"Как пукнется, так и аукнется.


",0
raznie,"- Долго мне еще ждать? - сердится клиент. - Я уже десятый раз прошу принести бифштекс.
- Чтобы приготовить десять бифштексов, - учтиво отвечает официант, - нужно время, сэр!

",0
pro-inostrantsev,"В Одессе:  - Посоветуйте, который час?..
",1
raznie,"Мама говорит своей старшей дочери: - Доченька, иди побаюкай свою сестрёнку! Она опять заплакала! Сердитая старшая дочь врывается в комнату своей сестры и гробовым голосом поет: -Спи моя гадость усни,  В морге погасли огни... Трупы на полках лежат, Мухи над ними жужжат.... Спи моя гадость усни, Скоро там будешь и ты!
",0
pro-mugchin,"- Бегай, не бегай, а от счастья не убежишь. Оно тебя настигнет, заставит кольцо купить и в ЗАГС потащит.
",0
raznie,"Вор залезает в дом, а там попугай.
- А Кеша всё видит.
Вор накрыл полотенцем клетку.
А попугай говорит
- А Кеша не попугай, а Кеша это бульдог.
",0
aforizmi,"Последние десятилетия доказали: влияние дорог сильно преувеличено,
воздействие же дураков одинаково пагубно как при хайвэях, так и на
бездорожьи.


",0
tsitati,"""mblsha"" показал маме, как в пси можно написать сообщение самому себе. на что она отреагировала фразой о том, что с этого начинаются душевные проблемы, человек начинает заговариваться, и прочая-прочая...""gonzo"" mblsha: У меня есть целая группа из 5 контактов. Называется ""me""""mblsha"" gonzo: у меня в группе mblsha выжило всего двое ""gonzo"" mblsha: Остальных похоронил?""mblsha"" gonzo: с остальными я не разговариваю

",0
aforizmi,"Только по-настоящему хорошая женщина может сделать настоящую глупость.
$@#Y@


",0
aforizmi,"Сначала он сделал ей предложение, а потом доделал и все произведение.


",0
aforizmi,"Вопрос в кроссворде: падшее существо, пять букв, последняя - мягкий
знак.
Правильный ответ: рубль.


",0
pro-militsiyu,"Приходит строительный рaбочий к доктору:
- Доктор, помогите, зaпор !
- Снимaйте штaны, посмотрим...
После некоторого осмотрa:
- Дорогой, ложитесь нa стол животом...
Рабочий покорно ложиться, доктор идет зa ширму, возврaщaется с бейсбольной битой в рукaх и изо всей мочи бьет рабочего по зaднице.
- А теперь идите опрaвтесь !
Рабочий убегaет, через пять минут возврaщaется и рaдостно спрaшивaет:
- Доктор, a кaк Вaм ЭТО удaлось ?
- Дорогой, если вы не прекрaтите подтирaться мешкaми из-под цементa....

",0
raznie,"Отдам совесть в любые руки. Вознаграждение гарантирую.

",0
raznie,"Мужчина пересекает дорогу в неположенном месте
и смотрит не на проезжую часть, а куда-то в небо. К нему подходит ГАИшник и говорит:
- Если ты не будешь смотреть туда, куда идешь, то попадешь туда, куда смотришь!

",0
raznie,"Девушка - парню:
- А в тебе есть какая-нибудь изюминка?
- О-о, во мне масса изюминок. Я, практически, кекс!
",0
raznie,"Последние минуты ""Титаника"", корабль погружается под воду, крики тонущих. Плач. Стоны. Мимо на лодочке с веслами проплывает старушка:
- Кофе,чай,горячие пирожки! Кофе,чай,горячие пирожки!

",0
raznie,"Летит самлёт.Пилот по громкой связи:- Уважаемые дамы и господа! Вас приветствует командир корабл&. Полёт проходит со скоростью 900 км/ч на высоте 10000 метров, темпиратура за бортом...а-а-а! Что это такое? Ну все!В салоне гробовая тишина. Через минуту:- Прошу прощения. Наша стюардесса пролила на меня кофе. Видели бы вы мои брюки спереди.Мужик в первом ряду:- Видел бы ты наши брюки сзади!
",0
aforizmi,"Работа - не волк, голод - не тетка, баба - не человек ...


",0
raznie,"- Есть масса девушек, которые не хотят выходить замуж.
- Откуда ты знаешь?
- Я им предлагал.

",0
poshlie-i-intimnie,"- Ой, мама, я, кажется, беременна...
- От дуреха! Где же была твоя голова?!
- Hе помню. Кажется, под рулем...

",10
pro-narkomanov,"Ты пьяна и тебе пора домой если:
Ты садишься на унитаз, не замечая опущенной крышки.
Ты не имеешь ни малейшего понятия, где находится твоя сумочка.
Тебе кажется, что ты выглядишь очень привлекательно, когда танцуешь, держа руки над головой и виляя задом.
Внезапно ты решаешь дать кое-кому по рогам и искренне веришь, что ты в состоянии это сделать.
Ты идешь ""пи-пи"" и замечаешь, что волосы у тебя растрепаны, а по лицу стекает косметика, но тебе непонятно, почему.
Ты плачешь и рассказываешь всем подряд, как сильно ты их любишь.
Крендель, с которым ты заигрываешь, был твоим учителем в пятом классе.
Желание стаскивать с себя разные предметы одежды, стоять на столе и петь становится непреодолимым.
Ты думаешь, что ты в кровати, но подушка как-то подозрительно напоминает кафельный пол в ванной.
Ты оставляешь некоторые пуговицы и застежки расстегнутыми, чтобы не уходить в туалет слишком надолго.
Ты снимаешь туфли, потому что считаешь, что это из-за них ты не можешь ходить
",0
tsitati,"Юлька: Сейчас прикалываюсь: сижу, живот выпирает весь, я его беру в руки и трясу вверх-вниз, такое ощущение что банку с огурцами солеными трясу, полную, что то там булькает и перекатываетсяXXX: Изверги! Ребенок не успел родиться, а уже ощутил смысл слов ""пи%&ец"" и ""они охуели"".

",0
aforizmi,"Иногда хочется стать птицей и взлететь высоко-высоко... хотя бы
для того, чтобы никто не срал на голову.


",0
meditsinskie,"""Хорошо зафиксированный больной в анастезии не нуждается"".
",1
aforizmi,"О КАЖДОЙ ЖЕНЩИНЕ МОЖНО СКАЗАТЬ ОДНО И ТОЖЕ: ПРИ ТАКОМ ХАРАКТЕРЕ, МОГЛА БЫ БЫТЬ И
ПОКРАСИВЕЕ!


",0
raznie,"Мир становится все webанутее и webанутее...

",0
poshlie-i-intimnie,"Это был затяжной поцелуй. Из той категории поцелуев, когда он уже успевает мысленно заняться с ней фантастическим сексом, а она уже успевает мысленно перевезти свою мебель в его квартиру.
",0
raznie,"Моя кошка срёт в раковину. Я, конечно, не в восторге от такого её поведения, но считаю, что это по-любому лучше, чем если бы она это делала в остальных местах квартиры. Говно из раковины я обыкновенно достаю ложкой и гигиенично выбрасываю в унитаз. Пять минут тому назад, иду, значит, с ложкой говна от ванной к сортиру. Жвачку жую. Тут в дверь звонят. Открываю - почтальон. А я с ложкой говна в руках и жую. Чёрт, неудобно как-то вышло.

",0
raznie,"-Папа, скоро введут повременную оплату за телефон. Ты, наверное, теперь будешь меньше проводить времени в Интернете?
-Hет, сынок. Это ты теперь будешь меньше кушать

",0
aforizmi,"Антигравитация существует!
ЭТО ВИАГРА!


",0
raznie,"Встретились как-то Мадонна и Бил Гейтс. Мадонна говорит:
- Я такая богатая, что могу купить весь Мир!
- А я не продаю...- ответил Бил.

",0
raznie,"- Выбросите сигарету изо рта!- Шеф! Это не сигарета, а карандаш.- Всё равно: на рабочем месте курить нельзя даже карандаши!
",0
raznie,"Объявление в туалете в ледовом холле: ""просьба на коньках на горшок не вставать!""
",0
raznie,"Испытав любовь, перейди к серийным образцам.

",0
raznie,"Приходит мужик к доктору и говорит:
- Доктор помогите у меня такая проблема... Доктор не отрываясь от своих записей:
- Ну говорите...
- Доктор ну понимаете, у меня такая проблема, такая проблема...
- Ну давайте говорите быстрее меня другие пациенты ждут.
- Доктор вы только не смейтесь, а то другие все врачи смеялись...
- Ну, как я могу смеятся, я же давал клятву и всё такое, давайте давайте показывайте или уходите. Мужик снимает штаны, а на том месте, где должно быть мужское достоинство такая маленькая фигулинка. Доктор в истерике, хохочет... Мужик:
- Ну вот доктор вы смеётесь... Доктор еле-еле успокоившись:
- Всё, всё я успокоился, так в чём же у вас проблема?
- Доктор, понимаете, у меня чл*н опух.

",0
aforizmi,"Как пернуть так некому, а как понюхать так все тянутся.


",0
pro-novih-russkih,"Приходит новый русский домой, достает из портфеля ружьё и дохлую мышь,
кладет их на монитор, включает компьютер, через секунду выключает,
достаёт сотовый, набирает номер и говорит:
- Слышь, Василич, поставил я на компьютер винчестер и мышку, а он ни
хрена не работает!
- Ну, значит, у тебя или с памятью плохо, или мать дохлая...
- Ты чё, мужик?!..

",0
aforizmi,"За одну малолетку - дают три пятилетки.


",0
tsitati,"--"" hiddenman (~andy@id-24.s46.dp.ukrtel.net) зашел на канал #altlinux-smoke""hiddenman"" что можно обсуждать? надеюсь, хоть тут можно говорить, что линукс говно и постить ссылки на порнуху?

",0
pro-alkogolikov,"Четверо алкашей спорят у кого больше руки трусятся.
Первый:
- Я только из горлышка пью, пока стакан до рта донесу - все разливаю.
Второй:
- А я и из горлышка не могу - зубы выбиваю !
Третий:
- А я когда писаю так три раза кончаю !
Четвертый:
- А я покакать нормально не могу: пока подотрусь - все дерьмо по спине
до шеи размажу !!!

",3
tsitati,"Marsha (18:57:25)а ты что любишь? Marsha (18:57:31)слушать? пряниk (18:57:32)мороженое пряниk (18:57:46)оно, сцуко, молчит все время - хорошоооо )

",0
aforizmi,"Если сильно захотел, не вздумай откладывать!


",0
raznie,"Пожилой мужчина подходит к нарику и спрашивает:- Извините, не подскажите как найти площадь Ленина?- Ну дед ты даешь!!! Надо длину Ленина умножить на ширину Ленина.
",1
raznie,"Суддя:
- Мадам, минулого тижня Вас згвалтували. Розкажіть, як це було.
- О, це було так чудово.

",0
aforizmi,"В неравной борьбе за равенство все равны.


",0
raznie,"Новый русский разговаривает с приятелем:
- Попробывал покататься на ""Жигули"". За поездку на работу меня три раза подрезали и пять раз обругали. И все - иномарки. Блин, полчаса покатался, а как новых русских ненавижу!

",0
tsitati,"она: жопа, ты с ручкой, Вова!
я: тоже рад тебя видеть, малыш, чем вызвана сия небоснованная агрессия в сторону моей скромной персоны?
она: я вчера твою загадку дурацкую загадала про Робин Гуда маме.
я: ну?
она: сидим, разговариваем про тебя, он то, он се... ну, я и вспомнила и спросила: ""кто такой я ЧЛЕНОМ и яйцами, но не пирожок?"". мама на меня та-а-аа-к посмотрела!
я: че могу сказать - мне очень понравился ход ваших мыслей, девушка:)

",0
raznie,"- Мужик, у вас шарики есть.
- Есть
- Хорошие?
- Нет плохие.
- Дырявые?
- Нет - не дырявые..
- Плохо дуются?
- Нет, хорошо..
- Не яркие?
- Яркие...
- А почему, плохие?
- Не радуют..

",0
raznie,"Хорошо тому живется,У кого одна нога,У того яйцо не трется,И не надо сапога.Хорошо тому живется,У кого стекляный глаз,Он не портится - не бьется,Да, сверкает как алмаз.
",0
raznie,"Сидят 3 мужика: пессимист, реалист и оптимист. Оптимист видит свет в конце туннеля, пессимист вообще ничего не видит, реалист видит мчащийся поезд. И только один машинист видит 3-х дураков, сидящих на шпалах.
",-3
pro-programmistov,"Рай. Сидит на троне Бог рядом стоят апостолы летают ангелочки. Вдруг звонок из Ада... Сатана: Послушай Иегова забери к себе этого программера! А то он мне всех чертей бензопилой перепилит. Бог: Ну а нам-то зачем этот грешник? Ты у него бензопилу отними и мучай себе на здоровье!. Сатана: Да?!! Ты попробуй отними когда он бегает и орет: Импы сволочные признавайтесь куда Кибердемон смотался?!

",-1
aforizmi,"В США неприлично спрашивать человека, сколько он зарабатывает...
В России неприлично спрашивать человека, КАК он зарабатывает...


",0
pro-mugchin,"Собрались три друга - пожарник, врач и милиционер, разговаривают про жён. Пожарник говорит: - Я свою жену в Анапу отдыхать отправил!Врач: - А я свою в Сочи!Милиционер думал, думал, и говорит: - А я со своей женой сам дома сплю!
",1
raznie,"- Где у женщин находится эрогенная зона """"G""""?
- В конце слова """"Shopping"""".

",0
raznie,"Военная грузинская дорога. Стоит гаишник-грузин, останавливает русского на запорожце.
- Ви привисили скорост, пишите объяснительную на грузинском языке.
- Так ведь я по грузински не умею...
- Ни чэго нэ знаю, пишите объяснительную и все. Русский сидел, думал думал, раз и на лист пятеру выложил. Грузин посмотрел:
- А говориш по грузински нэ умээшь, половину уже написал...

",0
raznie,"Утро. Вытрезвитель. Мужчину привели на допрос в кабинет начальника. Он у него спрашивает: - Ну-с, мужчина, что же вы так вчера напились то?Он: - Я? Да ни в одном глазу...Начальник: - Странно, а как тогда вы объясните факт, что сидя на проезжей части, вы пытались свернуть разделительную полосу и убрать её в багажник?!
",0
